mpg,weight,horsepower
9.0,4732.0,193.0
10.0,4495.5,207.5
11.0,4419.0,187.0
12.0,4786.5,185.0
13.0,4254.45,158.35
14.0,4171.578947368421,167.94736842105263
14.5,4215.0,152.0
15.0,3805.25,140.4375
15.5,4129.2,153.4
16.0,3983.846153846154,141.46153846153845
16.2,3410.0,133.0
16.5,4051.6666666666665,146.0
16.9,4360.0,155.0
17.0,3628.1428571428573,123.57142857142857
17.5,3777.6,126.0
17.6,3595.0,107.0
17.7,3445.0,165.0
18.0,3144.176470588235,102.94117647058823
18.1,3307.5,129.5
18.2,3830.0,135.0
18.5,3703.3333333333335,119.33333333333333
18.6,3620.0,110.0
19.0,2994.3333333333335,96.91666666666667
19.1,3381.0,90.0
19.2,3521.6666666666665,125.0
19.4,3472.5,115.0
19.8,2990.0,85.0
19.9,3365.0,110.0
20.0,2901.5555555555557,99.77777777777777
20.2,3215.0,100.5
20.3,2830.0,103.0
20.5,3336.6666666666665,100.0
20.6,3370.0,107.5
20.8,3070.0,85.0
21.0,2621.714285714286,91.0
21.1,2515.0,95.0
21.5,2855.0,111.66666666666667
21.6,2795.0,115.0
22.0,2770.7,93.5
22.3,2890.0,88.0
22.4,3415.0,110.0
22.5,3085.0,90.0
23.0,2740.6666666666665,89.0
23.2,2745.0,105.0
23.5,2725.0,110.0
23.7,2420.0,100.0
23.8,2855.0,85.0
23.9,2912.5,93.5
24.0,2510.818181818182,91.18181818181819
24.2,2930.0,120.0
24.3,3003.0,90.0
24.5,2452.0,74.0
25.0,2457.4,90.1
25.1,2720.0,88.0
25.4,3215.0,96.5
25.5,2527.5,92.5
25.8,2620.0,92.0
26.0,2206.0,76.64285714285714
26.4,2870.0,88.0
26.5,2565.0,72.0
26.6,3180.0,94.5
26.8,2700.0,115.0
27.0,2390.1111111111113,84.55555555555556
27.2,2660.0,84.0
27.4,2670.0,80.0
27.5,2560.0,95.0
27.9,2800.0,105.0
28.0,2349.1,84.5
28.1,3230.0,80.0
28.4,2670.0,90.0
28.8,2595.0,115.0
29.0,2078.875,70.125
29.5,1980.0,69.5
29.8,2278.0,76.0
29.9,2380.0,65.0
30.0,2295.5714285714284,73.14285714285714
30.5,2120.5,70.5
30.7,3160.0,76.0
30.9,2230.0,75.0
31.0,2091.0,69.42857142857143
31.3,2542.0,75.0
31.5,2017.5,69.5
31.6,2635.0,74.0
31.8,2020.0,65.0
31.9,1925.0,71.0
32.0,2125.6666666666665,73.83333333333333
32.1,2120.0,70.0
32.2,2265.0,75.0
32.3,2065.0,67.0
32.4,2320.0,73.5
32.7,2910.0,132.0
32.8,1985.0,52.0
32.9,2615.0,100.0
33.0,1926.6666666666667,60.0
33.5,2192.0,81.0
33.7,2210.0,75.0
33.8,2145.0,67.0
34.0,2320.0,79.0
34.1,1980.0,66.5
34.2,2200.0,70.0
34.3,2188.0,78.0
34.4,2045.0,65.0
34.5,2150.0,70.0
34.7,2215.0,63.0
35.0,2056.5,78.5
35.1,1760.0,60.0
35.7,1915.0,80.0
36.0,2110.8333333333335,74.83333333333333
36.1,1800.0,63.0
36.4,2950.0,67.0
37.0,2144.6666666666665,75.0
37.2,2019.0,65.0
37.3,2130.0,69.0
37.7,2050.0,62.0
38.0,2275.0,70.5
38.1,1968.0,60.0
39.0,1875.0,64.0
39.1,1755.0,58.0
39.4,2070.0,70.0
40.8,2110.0,65.0
41.5,2144.0,76.0
43.1,1985.0,48.0
43.4,2335.0,48.0
44.0,2130.0,52.0
44.3,2085.0,48.0
44.6,1850.0,67.0
46.6,2110.0,65.0
